@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"ubiquitous famous surprised great thin traditional yummy different ready serious sicilian other circular quick good",five
"stupid same good campy lame surprised perfect thin crispy middle exact brown own dumb",five
"worst rude terrible other ridiculous possible good",one
"wild great welcome serene many exceptional warm",five
"blue important favorite mexican disappointed positive fresh such located amateur high friendly new impressive various tasty healthy whole awesome red affordable great",five
"last surprised such chic decent cozy awesome sorry perfect great",five
"horrible 2nd rude invalid",one
"bad happy ridiculous old",one
"low single uncomfortable great shady worth many other",one
"favorite new mexican large awesome free great",five
"rude",one
"good italian",five
"numerous social several comfortable great incredible beautiful similar able honest free prepared cheap worth black holy stunned pleased grateful sexy uninhibited",five
"fantastic fresh friendly",five
"amazing huge beautiful bigger ready entire electroinic east",five
"great larger normal delicious hot",five
"low great nice",five
"complete",one
"gorgeous wonderful",five
"extra regular helpful specific",five
"dental special good remembered actual upset big healthy empty",one
"great true super nice extra unreal",one
"high friendly great honest arrogant addled",one
"2nd peaceful serene great educational old leisurely entire",five
"worst great rid possible",one
"less initial second additional main",one
"crabby bitter insane old impossible stale",one
"multiple polite pleasant current available few new novel obvious clear easier free illiterate incompetent uneducated unable",one
"good other local main rude obnoxious last experienced such terrible sorry negative",one
"bad sarcastic same negative",one
"horrible happy few",one
"lonely wrong tired full",one
"rude absolute worst experienced new odd last excessive routine sad fair super grumpy such interested horrible rotten kinder",one
"great amazing many different local able nice beautiful dark chilly",five
"disappointed bridal beautiful big important altered other shitty huge",one
"other last special ovarian wrong bright cheery local lovely embarrassed pitiful ugly tall green plentiful thoughtless displeased unsuccessful important needless valuable",one
"fantastic knowledgeable gentle",five
"last big frosty great",five
"own last lower upset possible worst surprised new great many wrong",one
"great happy 3pm 7pm delicious packed friendly",five
"big local friendly possible special happy entertaining great many other high",five
"common good arrogant bad lousy expensive high disappointed",one
"pleased other different less",one
"spare ready clean friendly helpful",one
"new favorite italian good different indian extra chewy other nonethless special yummy constant big delish negative loud pricey",five
"sorry ds disturbing unwelcome",one
"other 2nd new",one
"few open disappointed several able",one
"dental comfortable modern comprehensive friendly",five
"amazing 2nd fresh",five
"such poor nice different clean entire rude bad super worried ridiculous whole less extra other",one
"awesome few great glad oldest careful free",five
"digital local",one
"last romantic experienced hooked fabulous perfect impressed warm good",five
"chinese authentic great friendly good surprised busy several open",five
"awesome good red original special large amazing perfect fresh big hot great",five
"wonderful free terrible good",five
"great good bad mild hot happy",one
"favorite mexican tasty grilled refried chunky",five
"loyal few expensive worth interested super busy sketchy everyday cheaper honest",one
"good full actual atrocious hot loud quieter few okay different same due careful naked bearable competent",one
"good",one
"able hung great nervous",five
"many good picky willing sick happy nice cozy intimate pretentious huge overwhelming free",five
"great friendly busy excellent",five
"last 6pm",one
"pregnant familiar closest extra happy thick artificial",five
"happy great free",five
"whole old blue loud tough serious full complete worst arrogant rude hateful good human",one
"true lazy usual",five
"good happy awful authentic great mediocre",one
"laughable interested",one
"big picky new favorite grand convenient fresh delicious thin super baked other 2yr old few great popular 6pm",five
"good old ds few particular favorite super knowledgeable inexpensive",five
"arrogant northern new exact hung",one
"open new larger capped elective various political atrocious many golden",one
"regular divey afraid green amazing higher many",five
"such amazing worse pointed misty special good simple stray last other hilarious stupid available direct present free",one
"large extra last smaller lousy",one
"nutritional sweet sticky buttery extra closest different fabulous",five
"amazing last",five
"tasteless thinnest large okay huge thick green niet worth",one
